# time,sweep00,sweep01,sweep02,sweep03,sweep04,sweep05,sweep06,sweep07,sweep08,sweep09,sweep10,sweep11,sweep12,sweep13,sweep14,sweep15,sweep16,sweep17,sweep18,sweep19,sweep20,sweep21,sweep22,sweep23,sweep24,sweep25,sweep26,sweep27,sweep28
0,-59.6942,-59.7256,-58.3245,-59.7892,-59.5036,-59.8029,-59.3312,-59.847,-59.3662,-59.2759,-58.9609,-59.7698,-59.5795,-60,-59.7585,-58.966,-58.4771,-59.9051,-59.0446,-59.5566,-58.9561,-59.7341,-58.8889,-59.5091,-59.2491,-59.1713,-59.8714,-59.352,-58.9556
0.1,-59.698,-59.729,-58.3348,-59.7918,-59.5097,-59.8053,-59.339,-59.8489,-59.3578,-59.2836,-58.9731,-59.7091,-59.5758,-60,-59.7615,-58.9756,-58.481,-59.9063,-59.0552,-59.5621,-58.9687,-59.7374,-58.887,-59.5151,-59.228,-59.1813,-59.873,-59.3599,-58.9497
0.2,-59.7017,-59.7324,-58.3459,-59.7944,-59.5157,-59.8077,-59.3468,-59.8507,-59.351,-59.2913,-58.9851,-59.6552,-59.497,-60,-59.7645,-58.9093,-58.4862,-59.9074,-59.0658,-59.5675,-58.9811,-59.6555,-58.8867,-59.5211,-59.2102,-59.1912,-59.8745,-59.3678,-58.9456
0.3,-59.7054,-59.7357,-58.3579,-59.797,-59.5217,-59.8101,-59.3545,-59.8526,-59.3457,-59.299,-58.9971,-59.6076,-59.4273,-60,-59.7674,-58.8436,-58.4927,-59.9086,-59.0763,-59.5728,-58.9934,-59.583,-58.8878,-59.527,-59.1952,-59.201,-59.8761,-59.3755,-58.9432
0.4,-59.709,-59.739,-58.3704,-59.7995,-59.5275,-59.8125,-59.3621,-59.8544,-59.3418,-59.3067,-59.009,-59.5656,-59.366,-60,-59.7702,-58.7865,-58.5003,-59.9097,-59.0869,-59.5781,-59.0056,-59.5188,-58.89,-59.5328,-59.1828,-59.2106,-59.8776,-59.3832,-58.9424
0.5,-59.7126,-59.7422,-58.3835,-59.8019,-59.5333,-59.8148,-59.3697,-59.8562,-59.3391,-59.3145,-59.0207,-59.5287,-59.312,-60,-59.7731,-58.7371,-58.5088,-59.9109,-59.0973,-59.5833,-59.0177,-59.4621,-58.8933,-59.5386,-59.1727,-59.2202,-59.8792,-59.3908,-58.9428
0.6,-59.7162,-59.7454,-58.3971,-59.8044,-59.5391,-59.8171,-59.3772,-59.858,-59.3375,-59.3222,-59.0324,-59.4963,-59.2647,-60,-59.7759,-58.6945,-58.5182,-59.912,-59.1077,-59.5884,-59.0296,-59.4122,-58.8976,-59.5443,-59.1646,-59.2297,-59.8806,-59.3983,-58.9445
0.7,-59.7197,-59.7485,-58.4112,-59.8068,-59.5448,-59.8194,-59.3846,-59.8598,-59.3368,-59.3298,-59.0439,-59.468,-59.2235,-60,-59.7787,-58.6582,-58.5283,-59.9131,-59.1181,-59.5935,-59.0413,-59.3684,-58.9027,-59.5499,-59.1585,-59.239,-59.8821,-59.4056,-58.9473
0.8,-59.7232,-59.7516,-58.4256,-59.8092,-59.5504,-59.8216,-59.392,-59.8615,-59.337,-59.3375,-59.0554,-59.4434,-59.1876,-60,-59.7814,-58.6275,-58.539,-59.9141,-59.1283,-59.5985,-59.053,-59.3302,-58.9086,-59.5554,-59.154,-59.2483,-59.8836,-59.4129,-58.951
0.9,-59.7266,-59.7547,-58.4402,-59.8116,-59.5559,-59.8238,-59.3993,-59.8632,-59.3379,-59.3451,-59.0667,-59.4222,-59.1566,-60,-59.7841,-58.6017,-58.5503,-59.9152,-59.1385,-59.6035,-59.0645,-59.2968,-58.9151,-59.5609,-59.151,-59.2574,-59.885,-59.4202,-58.9555
