# time,sweep00,sweep01,sweep02,sweep03,sweep04,sweep05,sweep06,sweep07,sweep08,sweep09,sweep10,sweep11,sweep12,sweep13,sweep14,sweep15,sweep16,sweep17,sweep18,sweep19,sweep20,sweep21,sweep22,sweep23,sweep24,sweep25,sweep26,sweep27,sweep28,sweep29,sweep30,sweep31,sweep32
0,-59.3865,-59.46,-59.9923,-59.2285,-58.699,-57.8911,-59.6498,-57.6106,-59.3455,-59.765,-59.2547,-59.6087,-59.7739,-59.2597,-59.6993,-58.5029,-59.7764,-57.7261,-59.2204,-59.2095,-59.2327,-58.5744,-59.0875,-58.2183,-59.0672,-59.8026,-59.8104,-59.7394,-59.109,-59.2849,-58.7957,-59.1995,-59.5042
0.1,-59.3925,-59.4653,-59.9924,-59.236,-58.7114,-57.9075,-59.6532,-57.6318,-59.333,-59.7674,-59.2052,-59.6126,-59.7761,-59.1858,-59.7023,-58.4897,-59.7786,-57.7249,-59.228,-59.2173,-59.2403,-58.5881,-59.0869,-58.1976,-59.0763,-59.8046,-59.8123,-59.742,-59.1176,-59.2389,-58.8074,-59.1725,-59.5091
0.2,-59.3985,-59.4706,-59.9925,-59.2434,-58.7236,-57.924,-59.6567,-57.653,-59.3225,-59.7697,-59.1617,-59.6164,-59.7783,-59.1206,-59.7052,-58.4793,-59.7808,-57.726,-59.2356,-59.2249,-59.2477,-58.6016,-59.0872,-58.1809,-59.0853,-59.8065,-59.8142,-59.7445,-59.1261,-59.1985,-58.819,-59.1491,-59.5139
0.3,-59.4044,-59.4758,-59.9926,-59.2508,-58.7358,-57.9408,-59.6601,-57.6741,-59.3138,-59.772,-59.1236,-59.6202,-59.7805,-59.0631,-59.7081,-58.4715,-59.783,-57.7291,-59.2431,-59.2325,-59.2551,-58.615,-59.0884,-58.1677,-59.0942,-59.8084,-59.816,-59.747,-59.1345,-59.1632,-58.8304,-59.129,-59.5187
0.4,-59.4103,-59.481,-59.9926,-59.2581,-58.748,-57.9577,-59.6634,-57.6952,-59.3066,-59.7742,-59.0904,-59.6239,-59.7827,-59.0128,-59.711,-58.466,-59.7851,-57.7341,-59.2505,-59.2401,-59.2624,-58.6283,-59.0903,-58.1577,-59.1031,-59.8103,-59.8178,-59.7496,-59.1429,-59.1325,-58.8418,-59.1119,-59.5235
0.5,-59.4161,-59.4861,-59.9927,-59.2653,-58.76,-57.9747,-59.6668,-57.7161,-59.3008,-59.7765,-59.0616,-59.6277,-59.7849,-58.9687,-59.7139,-58.4626,-59.7873,-57.7407,-59.2578,-59.2212,-59.2696,-58.6415,-59.0929,-58.1505,-59.1118,-59.8122,-59.8196,-59.752,-59.1512,-59.1058,-58.8531,-59.0975,-59.5282
0.6,-59.4218,-59.4911,-59.9928,-59.2725,-58.7719,-57.9918,-59.6701,-57.737,-59.2963,-59.7787,-59.0368,-59.6313,-59.787,-58.9303,-59.7167,-58.4609,-59.7894,-57.7487,-59.2651,-59.1469,-59.2768,-58.6546,-59.0961,-58.1458,-59.1205,-59.8141,-59.8214,-59.7545,-59.1594,-59.0829,-58.8642,-59.0854,-59.4977
0.7,-59.4275,-59.4962,-59.9928,-59.2796,-58.7837,-58.009,-59.6733,-57.7578,-59.293,-59.7809,-59.0156,-59.635,-59.7891,-58.897,-59.7195,-58.4609,-59.7915,-57.7579,-59.2723,-59.0814,-59.2839,-58.6675,-59.0998,-58.1434,-59.1291,-59.8159,-59.8232,-59.7569,-59.1675,-59.0632,-58.8753,-59.0755,-59.4212
0.8,-59.4331,-59.5011,-59.9929,-59.2866,-58.7954,-58.0263,-59.6765,-57.6962,-59.2907,-59.783,-58.9975,-59.6386,-59.7912,-58.8684,-59.7223,-58.4624,-59.7935,-57.7683,-59.2794,-59.0238,-59.2909,-58.6804,-59.1039,-58.1431,-59.1376,-59.8177,-59.825,-59.7593,-59.1756,-59.0466,-58.8862,-59.0675,-59.3533
0.9,-59.4387,-59.506,-59.993,-59.2936,-58.807,-58.0435,-59.6797,-57.6435,-59.2893,-59.7852,-58.9823,-59.6422,-59.7933,-58.8439,-59.725,-58.4652,-59.7956,-57.7797,-59.2865,-58.9732,-59.2979,-58.6931,-59.1085,-58.1445,-59.146,-59.8195,-59.8267,-59.7617,-59.1836,-59.0326,-58.8971,-59.0613,-59.2933
