# time,sweep00,sweep01,sweep02,sweep03,sweep04,sweep05,sweep06,sweep07,sweep08,sweep09,sweep10,sweep11,sweep12,sweep13,sweep14,sweep15,sweep16,sweep17,sweep18,sweep19,sweep20,sweep21,sweep22,sweep23,sweep24,sweep25,sweep26,sweep27
0,-58.5062,-59.4878,-59.1783,-59.0655,-59.9635,-58.8198,-59.7645,-59.8046,-59.0408,-59.6707,-59.3845,-58.8093,-59.7432,-58.8723,-59.1995,-59.8297,-59.6228,-59.3581,-58.9727,-58.884,-58.8532,-58.7407,-59.1167,-59.5396,-58.5761,-59.3185,-59.3675,-58.7722
0.1,-58.5121,-59.494,-59.1883,-59.0754,-59.964,-58.8325,-59.7674,-59.8071,-59.0525,-59.6748,-59.392,-58.8163,-59.6841,-58.879,-59.2092,-59.8318,-59.6274,-59.366,-58.9385,-58.8949,-58.8671,-58.7301,-59.1184,-59.5453,-58.5636,-59.321,-59.3751,-58.7855
0.2,-58.519,-59.5001,-59.1982,-59.0854,-59.9644,-58.8452,-59.7702,-59.8095,-59.064,-59.6788,-59.3995,-58.8239,-59.6318,-58.8863,-59.2189,-59.8339,-59.632,-59.3738,-58.9092,-58.9059,-58.8809,-58.7047,-59.1209,-59.5509,-58.5542,-59.3241,-59.3827,-58.7988
0.3,-58.527,-59.5062,-59.2081,-59.0954,-59.9649,-58.8579,-59.7731,-59.8118,-59.0754,-59.6828,-59.4069,-58.8321,-59.5855,-58.8942,-59.2285,-59.8359,-59.6366,-59.3814,-58.8845,-58.917,-58.8945,-58.6175,-59.1242,-59.5564,-58.5475,-59.3277,-59.3902,-58.812
0.4,-58.5358,-59.5122,-59.2177,-59.1053,-59.9653,-58.8705,-59.7759,-59.8141,-59.0866,-59.6867,-59.4142,-58.8408,-59.5448,-58.9025,-59.2379,-59.8379,-59.641,-59.389,-58.8638,-58.9282,-58.9079,-58.5416,-59.1282,-59.5618,-58.5433,-59.3317,-59.3976,-58.8253
0.5,-58.5455,-59.5182,-59.2273,-59.1153,-59.9657,-58.8831,-59.7787,-59.8164,-59.0977,-59.6905,-59.4214,-58.8499,-59.509,-58.9111,-59.2472,-59.84,-59.6455,-59.3965,-58.8466,-58.9395,-58.9211,-58.4758,-59.1328,-59.5672,-58.5412,-59.336,-59.4049,-58.8384
0.6,-58.5558,-59.524,-59.2368,-59.1252,-59.9662,-58.8957,-59.7814,-59.8187,-59.1087,-59.6944,-59.4285,-58.8594,-59.4776,-58.9202,-59.2564,-59.8419,-59.6498,-59.4039,-58.8327,-58.9508,-58.9342,-58.419,-59.1379,-59.4877,-58.5411,-59.3407,-59.4121,-58.8516
0.7,-58.5666,-59.5298,-59.2461,-59.1351,-59.9666,-58.9083,-59.7841,-59.821,-59.1196,-59.6981,-59.4355,-58.8692,-59.4503,-58.9295,-59.2655,-59.8439,-59.6542,-59.4113,-58.8218,-58.9621,-58.9472,-58.3704,-59.1435,-59.4174,-58.5428,-59.3456,-59.4193,-58.8647
0.8,-58.5781,-59.5356,-59.2554,-59.145,-59.967,-58.9207,-59.7868,-59.8232,-59.1303,-59.7019,-59.4425,-58.8793,-59.4265,-58.9392,-59.2745,-59.8458,-59.6584,-59.4185,-58.8134,-58.9734,-58.96,-58.329,-59.1495,-59.3554,-58.546,-59.2663,-59.4263,-58.8777
0.9,-58.5899,-59.5413,-59.2645,-59.1548,-59.9674,-58.9331,-59.7894,-59.8254,-59.1409,-59.7056,-59.4493,-58.8897,-59.406,-58.949,-59.2834,-59.8477,-59.6627,-59.4256,-58.8073,-58.9848,-58.9726,-58.2942,-59.1559,-59.301,-58.5506,-59.1965,-59.4333,-58.8906
1,-58.6021,-59.5469,-59.2735,-59.1645,-59.9678,-58.9455,-59.792,-59.8275,-59.1514,-59.7092,-59.4561,-58.9002,-59.3885,-58.959,-59.2922,-59.8496,-59.6668,-59.4327,-58.8033,-58.9961,-58.9851,-58.2652,-59.1626,-59.2533,-58.5564,-59.1352,-59.4403,-58.9035
1.1,-58.6147,-59.5524,-59.2824,-59.1742,-59.9682,-58.9577,-59.7946,-59.8297,-59.1617,-59.7128,-59.4628,-58.9109,-59.3735,-58.9692,-59.3009,-59.8515,-59.6709,-59.4396,-58.8011,-59.0073,-58.9975,-58.2415,-59.1695,-59.2116,-58.5633,-59.0817,-59.4471,-58.9162
1.2,-58.6276,-59.5579,-59.2912,-59.1838,-59.9686,-58.9699,-59.7972,-59.8318,-59.172,-59.7163,-59.4694,-58.9218,-59.3609,-58.9795,-59.3094,-59.8533,-59.675,-59.4465,-58.8007,-59.0186,-59.0097,-58.2225,-59.1767,-59.1755,-58.5711,-59.0351,-59.4538,-58.9289
1.3,-58.6406,-59.5633,-59.2999,-59.1934,-59.969,-58.9819,-59.7997,-59.8339,-59.1821,-59.7199,-59.4759,-58.9327,-59.3505,-58.9898,-59.3179,-59.8552,-59.679,-59.4533,-58.8017,-59.0209,-59.0218,-58.2076,-59.1841,-59.1442,-58.5798,-58.9947,-59.4605,-58.9415
1.4,-58.6539,-59.5687,-59.3085,-59.2029,-59.9694,-58.9939,-59.8021,-59.8359,-59.1921,-59.7233,-59.4824,-58.9437,-59.3419,-59.0003,-59.3263,-59.8569,-59.683,-59.4601,-58.804,-58.9489,-59.0337,-58.1966,-59.1917,-59.1174,-58.5892,-58.9599,-59.4671,-58.9539
1.5,-58.6673,-59.574,-59.3169,-59.2123,-59.9698,-59.0058,-59.8046,-59.838,-59.2019,-59.7267,-59.4887,-58.9548,-59.335,-59.0108,-59.3345,-59.8587,-59.6869,-59.4667,-58.8074,-58.8861,-59.0455,-58.1888,-59.1994,-59.0945,-58.5993,-58.9301,-59.4737,-58.9663
1.6,-58.6809,-59.5792,-59.3253,-59.2216,-59.9701,-59.0175,-59.807,-59.84,-59.2117,-59.7301,-59.495,-58.9659,-59.3297,-59.0214,-59.3427,-59.8605,-59.6908,-59.4733,-58.812,-58.8314,-59.0571,-58.1841,-59.2072,-59.0751,-58.61,-58.9049,-59.4801,-58.9785
1.7,-58.6945,-59.5844,-59.3336,-59.2308,-59.9705,-59.0292,-59.8094,-59.842,-59.2213,-59.7335,-59.5012,-58.9771,-59.3257,-59.0319,-59.3508,-59.8622,-59.6946,-59.4708,-58.8174,-58.7842,-59.0686,-58.1821,-59.2151,-59.059,-58.6211,-58.8836,-59.4865,-58.9907
1.8,-58.7082,-59.5895,-59.3418,-59.2137,-59.9709,-59.0407,-59.8118,-59.8439,-59.2308,-59.7367,-59.5074,-58.9882,-59.323,-59.0425,-59.3587,-59.8639,-59.6984,-59.3934,-58.8236,-58.7435,-59.08,-58.1824,-59.2231,-59.0457,-58.6326,-58.8661,-59.4928,-59.0027
