sector;pregunta;respuesta
ENSAYO BOSQUE VIEJO;Arco de desinfección cumple a cabalidad con su función;Si
ENSAYO BOSQUE VIEJO;Cámara de fumigación cumple a cabalidad su función;Si
ENSAYO BOSQUE VIEJO;Disponibilidad de canastillo para desinfección de herramientas;NO
ENSAYO BOSQUE VIEJO;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
ENSAYO BOSQUE VIEJO;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
ENSAYO BOSQUE VIEJO;Ducha en buen estado y operativa con agua caliente;Si
ENSAYO BOSQUE VIEJO;Ausencia de insumos y/o materiales a la interperie;Si
ENSAYO BOSQUE VIEJO;Ausencia de animales silvestres dentro de las instalaciones ;NO
ENSAYO BOSQUE VIEJO;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;NO
ENSAYO BOSQUE VIEJO;Puerta de caseta danesa cerrada;Si
ENSAYO BOSQUE VIEJO;Ausencia de evidencia de aves silvestres dentro de los pabellones;NO
ENSAYO BOSQUE VIEJO;Pediluvio disponible y operativo;Si
ENSAYO BOSQUE VIEJO;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
ENSAYO BOSQUE VIEJO;Verificación de uso adecuado de banca danesa;Regular= la función o descripción se cumple parcialmente, se puede mejorar; 
ENSAYO BOSQUE VIEJO;Portón incubadora cerrado;nan
ENSAYO BOSQUE VIEJO;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
ENSAYO BOSQUE VIEJO;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
ENSAYO BOSQUE VIEJO;Pediluvio disponible y operativo;nan
ENSAYO BOSQUE VIEJO;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
ENSAYO BOSQUE VIEJO;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
ENSAYO BOSQUE VIEJO;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
BOSQUE VIEJO;Arco de desinfección cumple a cabalidad con su función;nan
BOSQUE VIEJO;Cámara de fumigación cumple a cabalidad su función;nan
BOSQUE VIEJO;Disponibilidad de canastillo para desinfección de herramientas;nan
BOSQUE VIEJO;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);nan
BOSQUE VIEJO;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);nan
BOSQUE VIEJO;Ducha en buen estado y operativa con agua caliente;nan
BOSQUE VIEJO;Ausencia de insumos y/o materiales a la interperie;nan
BOSQUE VIEJO;Ausencia de animales silvestres dentro de las instalaciones ;nan
BOSQUE VIEJO;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;nan
BOSQUE VIEJO;Puerta de caseta danesa cerrada;nan
BOSQUE VIEJO;Ausencia de evidencia de aves silvestres dentro de los pabellones;nan
BOSQUE VIEJO;Pediluvio disponible y operativo;nan
BOSQUE VIEJO;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
BOSQUE VIEJO;Verificación de uso adecuado de banca danesa;nan
BOSQUE VIEJO;Portón incubadora cerrado;nan
BOSQUE VIEJO;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
BOSQUE VIEJO;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
BOSQUE VIEJO;Pediluvio disponible y operativo;nan
BOSQUE VIEJO;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;nan
BOSQUE VIEJO;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;nan
BOSQUE VIEJO;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;nan
MAITENES 4;Arco de desinfección cumple a cabalidad con su función;Si
MAITENES 4;Cámara de fumigación cumple a cabalidad su función;Si
MAITENES 4;Disponibilidad de canastillo para desinfección de herramientas;Si
MAITENES 4;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
MAITENES 4;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
MAITENES 4;Ducha en buen estado y operativa con agua caliente;Si
MAITENES 4;Ausencia de insumos y/o materiales a la interperie;Si
MAITENES 4;Ausencia de animales silvestres dentro de las instalaciones ;NO
MAITENES 4;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
MAITENES 4;Puerta de caseta danesa cerrada;Si
MAITENES 4;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
MAITENES 4;Pediluvio disponible y operativo;Si
MAITENES 4;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
MAITENES 4;Verificación de uso adecuado de banca danesa;Si
MAITENES 4;Portón incubadora cerrado;nan
MAITENES 4;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
MAITENES 4;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
MAITENES 4;Pediluvio disponible y operativo;nan
MAITENES 4;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;Si
MAITENES 4;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
MAITENES 4;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Don Forster;Arco de desinfección cumple a cabalidad con su función;Si
Don Forster;Cámara de fumigación cumple a cabalidad su función;Si
Don Forster;Disponibilidad de canastillo para desinfección de herramientas;Si
Don Forster;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Don Forster;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);nan
Don Forster;Ducha en buen estado y operativa con agua caliente;Si
Don Forster;Ausencia de insumos y/o materiales a la interperie;Si
Don Forster;Ausencia de animales silvestres dentro de las instalaciones ;NO
Don Forster;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;NO
Don Forster;Puerta de caseta danesa cerrada;Si
Don Forster;Ausencia de evidencia de aves silvestres dentro de los pabellones;NO
Don Forster;Pediluvio disponible y operativo;Si
Don Forster;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Don Forster;Verificación de uso adecuado de banca danesa;Bueno
Don Forster;Portón incubadora cerrado;nan
Don Forster;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Don Forster;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Don Forster;Pediluvio disponible y operativo;nan
Don Forster;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;Si
Don Forster;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Don Forster;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Alhue;Arco de desinfección cumple a cabalidad con su función;Si
