name;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;Condell con Bellavista;Bellavista con Errazuriz;España con Argentina y Errazuriz;Argentina con Colón;Colón con Edwards
1;60,8915698452;117,4117095158;187,2066919495;243,0533751224;165,354295531;188,7329608681;208,4148527981;243,2666440942;319,4634969419;330,7158723783;309,4825531051;280,9345576556;269,3035808344;325,7199375761;327,0661237578;395,0985886011;391,8203705474;398,3054393475;402,5714101705;417,3822789044;435,6563373787;516,1880216055;496,8686235651;490,3284722414;490,4127685707;492,0032525779;494,0082421454;498,3043443587;511,981045719;596,8809862871;586,4674003054;586,1511784018;588,3785794289;587,2620943737;592,8037345035;606,0988918541;595,2074103291;658,9346358225;753,9904400745;737,1111959156;709,3141903871;689,5921417351;682,0965825661;682,8594746022;682,8594746022;679,6625535328;684,6181483563;797,4797786549;791,0424684096;788,1561462102;789,304050569;787,5647002105;796,3276618094;819,9543053177;859,0882885727;949,0165078408;1004,8869468747;946,9036993839;928,9755456386;925,7914369215;926,3317949694;931,6116732724;932,7559659616;917,5732884054;1036,653717005;1039,7162173883;1034,4705910531;1028,3905409025;1020,4118680081;1026,4582561424;1041,7546274616;1072,8288542476;1201,8430405727;1163,2723466508;1148,2359050909;1130,1857340554;1134,7573873461;1140,7651601975;1144,1129881664;1124,4437243823;1247,6994208983;1247,210003253;1250,8783824471;1257,7127660823;1280,3581871811;1305,317389911;1329,1312390593;1429,6634834035;1400,4201664693;1369,9688699732;1346,4239477303;1334,6867606295;1332,4657694643;1330,8035414449;1451,9244857823;1419,7057429594;1414,2389163193;1416,1824852637;1424,1902380288;1445,0786440162;1470,4107252697;1501,307613561;1593,4914446525;1575,9316157616;1554,4732662339;1525,390087716;1508,8292213306;1503,0538194131;1499,1471732803;1507,032891729;1546,4817941109;1583,6097832599;1615,3393898573;1596,7954162269;1626,8054642676;1663,9191103621;1744,7943788011;1733,8596801423;1659,6007382346;1681,6988305047;1752,9111205278;1831,8379704988;1818,970630791;1871,1342319456;1955,8087761138;1953,6903655381;1920,814688138;2050,6083379536;1765,2662043324;1719,620682036;1675,9524645505;1623,8679021259;1662,9855803336;24,5182147488;271,9924896256;1745,9932229228;2151,5326856804;490,3962836622
2;60,1075216687;64,1007979253;124,5899703202;178,7000972572;164,8512489893;165,9492336355;171,1144811245;194,6905979138;267,52290983;290,0895266429;278,7262394679;263,6512533036;272,3023111726;325,6780662233;309,9665746306;392,7448444439;374,1581026101;372,1811962112;371,9921563384;380,0294154442;391,0612361324;525,7942930506;495,3095203281;481,5625155122;471,7652338651;465,5636258814;463,6278222759;462,6394540676;470,0493035485;556,2678847042;551,5130207388;555,8058394091;561,9872434289;566,881020931;580,2377768041;602,3334470391;601,9026409219;664,9135584853;760,6612232743;738,7223141825;703,2258298002;674,8233393629;660,0100926969;655,5650750625;655,5650750625;645,1123197801;644,9574039768;758,5898568671;756,678328942;757,3056001088;761,5655834299;764,3160223755;779,3878013982;812,2847807218;860,3110613939;948,4123616463;1003,0720762501;937,5684579103;910,3583136813;900,9242364877;897,9545512424;900,6665730341;898,8182293398;880,6956538126;1002,8385524697;1008,442801515;1005,5974046163;1003,3415415413;1000,9895847254;1012,0320568075;1031,986004234;1069,9287788609;1197,0829339808;1153,2356610136;1133,1435539035;1109,1971522974;1108,8243596142;1111,278686988;1112,1993263232;1091,1618859657;1215,6072504987;1217,2127435552;1224,3949167519;1235,7896095922;1264,4786189574;1294,6543189534;1322,9305855453;1422,5333138367;1389,0710580686;1353,4604128896;1323,8506836144;1307,6967841921;1302,4292392268;1298,3348103027;1417,9413022876;1387,0432111882;1383,734018522;1388,9138671632;1401,025338296;1427,8440888515;1458,5707935092;1493,6922428509;1585,2572662817;1563,4040515549;1536,1827117931;1501,3978850688;1481,0672843846;1472,3169971666;1466,362464173;1472,5262081867;1511,57042048;1548,2226323066;1581,0287234077;1565,3557456592;1598,4880124416;1638,9847007334;1724,2652988773;1720,9722601148;1647,0267714871;1673,208092348;1743,875072071;1822,5264694234;1805,831264474;1853,5497517247;1940,720850274;1941,3510386967;1911,1950733902;2040,5424407679;1738,7645751251;1690,3645079905;1643,3683003313;1587,8613140636;1626,443012198;43,6803220892;206,6285013235;1707,4984076698;2142,1400786629;507,3516482366
3;124,6342456373;64,0430582473;57,0581304465;100,9052940447;197,6333915477;171,9603840007;154,0907177046;153,3110240933;213,8068294533;254,7217309182;259,4267352655;264,4441371724;297,1683988013;343,7971726471;307,6937829155;405,1366703824;367,8824391762;354,4571549348;347,945742006;345,7025422092;345,2388243006;548,7907169238;505,6169913878;483,2527676992;460,9277531437;444,3532372117;436,9722355844;428,4544501109;426,4686596215;513,184781135;516,6113358087;527,2864136586;538,7896566249;551,6698190353;574,9835973842;607,8102285588;620,122767342;681,3814102255;776,8808962346;749,0155090053;704,3855512305;665,2990199097;641,1077791689;629,7500437637;629,7500437637;609,4807505806;602,1518136981;715,8428058037;720,1896020108;725,5958323845;734,0092131318;742,7081099213;765,8869385575;810,3150968797;869,0005506363;954,2063031391;1007,0218952263;932,5122625234;893,6138358205;876,0830888856;868,4890695984;867,7587691985;861,9003205614;839,8990475906;965,5319434415;974,5005577551;974,8528977602;977,6442543429;982,6325835862;1000,0366999792;1025,7992031383;1072,1560534277;1196,393396225;1146,1025637802;1119,6778148229;1088,2611777302;1081,458650193;1079,2384309363;1076,9491385806;1054,1801623473;1179,7470900765;1184,1034885802;1195,8576746559;1213,1291158177;1249,4734972245;1286,1659948296;1319,9606498695;1418,0802573555;1379,4040585921;1337,3514443174;1300,0530231567;1278,2258688927;1268,9981602175;1261,7248312767;1379,0333456204;1349,9421371993;1349,4652132713;1358,8470509537;1376,2361623959;1410,586760275;1448,0802216455;1488,4296060422;1578,9861766761;1551,7726497875;1517,2951755047;1475,2829735785;1450,1279532753;1437,5302861955;1428,9151883919;1432,8102004581;1471,2434305758;1507,2011306482;1541,3546495025;1529,4558326033;1566,574417131;1611,3563795123;1702,119504408;1708,5415581897;1635,1455796507;1666,4167270639;1736,2539597519;1814,4117757044;1792,9220077553;1834,9262477295;1925,1232784719;1929,2248597123;1902,5416877649;2031,1311292621;1708,934335452;1657,0640757503;1605,8331417238;1545,9561458347;1583,7699452986;124,717214276;125,6030167707;1662,1433022165;2133,4368399536;539,1666097012
4;181,5088945895;111,7263836152;48,7968774651;46,5753399261;235,0798276819;195,6642112868;163,7727119075;141,233445526;181,9926579206;237,9150648113;256,1084244571;276,3823314815;324,1999553346;364,5038809426;315,0716083715;419,9707471934;369,878175556;347,9077763052;336,4784171017;325,6597967308;315,117884092;568,6452909754;516,8404227548;488,4396705163;456,9541196548;432,5226461967;420,8890915265;406,3293113203;396,4193868322;482,2017078783;492,3554633218;508,0764005761;523,6881023035;542,700972716;573,4139784528;613,9773336961;635,634158713;694,9883148863;789,5369775541;757,4403911244;706,2866114324;659,3900745709;628,146157648;611,4483831029;611,4483831029;583,5190085671;570,4272737333;683,2891822726;692,6116520797;701,7786502773;713,4139316246;726,7200693517;756,0333083188;809,0045898453;875,4083479709;957,9682702019;1009,1398649642;928,1219138138;880,4418968554;856,7224636249;845,5595448057;842,1380747761;833,160639233;808,2097861553;936,0466410633;947,6020839047;950,4404848874;957,1384407122;967,7824920699;990,0073499549;1020,1103814298;1072,6955837485;1194,2798405867;1139,2364496236;1108,0547299995;1071,0078577878;1059,2706173112;1053,4452134864;1048,679665125;1024,6408701288;1150,717128175;1157,1801330393;1172,4205077712;1194,159464401;1236,2705750748;1277,8449003957;1315,760366416;1412,5164618285;1369,9522912836;1323,0790854523;1279,9870201137;1253,8636947439;1241,6198796833;1231,9241167837;1347,2423818743;1319,5847177685;1321,2743544793;1333,8512111431;1355,2399149624;1395,2721375587;1437,8497215058;1482,1010039991;1571,7188075699;1540,4714623718;1500,5270048962;1453,0802438315;1424,2905736704;1408,7807267313;1398,152035506;1400,3122403935;1438,2204680184;1473,5977709958;1508,7256848174;1499,7104952824;1539,8039041391;1587,7769344959;1682,5757175299;1696,3754370992;1623,5114518639;1658,6064175636;1727,7058217553;1805,3790686936;1780,2729822522;1817,8821775028;1910,2683235049;1917,0005533936;1892,9873755373;2020,8553336733;1683,5468639845;1629,1126068019;1574,7386114662;1511,6292867776;1548,8130133912;186,3335540667;63,7817963085;1625,0714406724;2123,59533701;565,4670152585
5;233,7912608081;162,0702987729;89,6351928009;39,3522954265;275,8601691543;229,2374393576;190,0615987642;153,0079409257;169,4401510883;236,8203015945;266,2023718712;298,0474038412;355,8641104662;390,6650952664;331,897219778;440,5843470018;380,8636739559;352,0392634721;336,5123445742;318,0108158883;297,8043926465;591,6326149394;533,2563755729;500,1393020675;461,2095544976;430,1635940273;414,8314083655;394,8478120536;377,3789530825;461,0253025214;477,5725142128;497,8631383243;517,0911403181;541,4450529173;578,3769575508;625,24064896;654,5676196637;711,9577751339;805,2096547039;769,6902238535;713,2354010438;659,8265704994;622,5106315031;601,0689936229;601,0689936229;566,2041239738;547,6848037272;659,006697136;673,0157313782;685,6596464574;700,2169790876;717,6689745715;752,349569509;812,5970062782;885,3926911034;965,3674742572;1014,9480718016;928,5100810297;873,1975554292;843,9626961943;829,5675183503;823,6675899912;811,8138288005;784,1805888108;913,6540823041;927,5812326381;932,7090527722;942,9697807547;958,7104332403;985,1848086187;1019,0455579995;1076,9449769901;1195,9085165696;1136,8065454505;1101,4731906356;1059,4630167695;1043,2719938242;1034,1549419231;1027,1148423927;1001,9570025066;1128,2262423931;1136,6176415257;1155,0207362166;1180,7742617922;1227,9862182783;1273,8257726721;1315,3103527204;1410,6999687551;1364,7646236933;1313,6742309459;1265,4441560487;1235,4637882089;1220,4813179968;1208,5732990296;1321,8805746155;1295,5830270042;1299,2611598378;1314,7403270659;1339,7285921446;1384,8141770188;1431,8624404387;1479,5043681255;1568,1712631141;1533,3878473899;1488,6135836023;1436,3336532076;1404,281813052;1386,1321198015;1373,669404922;1374,2295233318;1411,6082378138;1446,4106466696;1482,3980669048;1476,0388145878;1518,8025769232;1569,6185737222;1667,9554847782;1688,3372725182;1616,0285109825;1654,473731434;1722,8444789167;1800,0105803353;1771,7193142738;1805,3721587169;1899,6328435365;1908,7006912654;1887,0766539863;2014,2010047231;1663,6514825076;1606,9413081713;1549,7511968108;1483,7349726536;1520,3009915107;240,6308501225;13,0010276885;1594,5398683242;2117,2508733279;593,6292323375
6;236,1334152227;163,6255528404;90,7115664214;42,0096878887;251,9912924716;197,7393504664;152,8800041604;105,347669957;107,7876278076;177,4668461132;211,9093242767;251,5217762482;317,8323889096;346,4258915184;280,8885443392;391,0662855704;325,5444693997;293,621216697;276,6788411862;256,4445064414;236,1371841075;542,9190540273;480,1553974824;444,4407357876;402,2902012216;369,3257238421;353,3212747925;332,9139497424;316,120503789;400,3833117513;415,788422256;435,9396781927;455,4110157523;480,6616629463;519,3884642977;568,862152487;602,6041225096;658,5380505453;750,7927957973;713,4815951188;654,7470420193;599,3063936852;560,8807106582;539,1337654391;539,1337654391;504,796096394;487,6028480322;599,5530881664;612,1286695458;624,1186639151;638,3730874434;655,7533035168;690,9236607787;752,8126473221;827,9373116066;906,7644968782;955,730346519;867,7820977807;811,3513798547;782,1105719265;768,0495950154;762,5882490516;751,4516589617;724,6971529473;853,6492757048;866,8942362702;871,5099878089;881,2478568352;896,7811797872;923,5371554174;957,9709618002;1017,1826535285;1135,3712375817;1075,45720222;1039,647052332;997,5633793224;981,7964981913;973,3140998192;966,8831667649;942,0734626978;1068,3086168546;1076,1221971988;1093,8000120936;1119,00286088;1166,0678693037;1212,2285330255;1254,2796254677;1349,4030310476;1303,0311002236;1251,7372257189;1203,7995919251;1174,4569349501;1160,1633132339;1148,9648966105;1263,0655866241;1236,2267284955;1239,2207315577;1253,9046944863;1278,2171948664;1322,8889884759;1370,0558973165;1418,0753502325;1506,6023945135;1471,5075339383;1426,7506615029;1375,0275452738;1343,6799809429;1326,3108065656;1314,5085905921;1315,7307456683;1353,3518325252;1388,4266933546;1424,0224514753;1416,5866099727;1458,4859911201;1508,5977030587;1606,3480228498;1626,4165949274;1554,127844347;1592,8282075644;1661,1187671732;1738,2355556374;1709,7870364133;1743,5595504165;1837,7203263736;1846,7716791284;1825,2562716336;1952,3306653057;1603,0472883631;1546,9902008763;1490,8134749102;1426,1002898635;1462,9855637627;253,5494239662;51,4217365879;1538,356770924;2055,396087401;549,3878765929
7;184,1296223068;112,9165422727;47,9346631311;46,177488169;199,2801668821;147,415308522;105,4753267745;69,2573344176;110,6208484303;163,3121796156;184,3660402599;212,6798216251;271,7695900917;305,2896339038;247,5177420243;355,5107566412;298,9780586045;274,3601978077;262,1077467512;251,2893253516;243,6195499822;506,3249064614;449,3492887312;418,1267333294;383,6390001558;357,9989430239;346,2945334593;332,4326722681;325,1088469026;411,492502726;419,0927440875;433,8033653591;449,0871245786;468,3525679394;500,4430040628;543,5889161642;570,0195836195;628,0125423416;721,7638650304;687,6655701475;634,0989017528;585,3672591408;553,527823301;537,1223813421;537,1223813421;510,876690263;500,2028851802;613,602757098;620,6380505536;628,5858302625;639,4911720553;652,2107834516;681,5122893009;735,7854442483;804,5778478868;886,0779043959;936,6865954782;854,1896532257;805,827740668;782,6424546406;772,2095611805;769,5626031298;761,7375102776;738,1429300309;864,9904563037;875,5125496804;877,536539892;883,2905586225;893,2363845799;915,4411492115;945,9445811056;999,7588458403;1120,6715118512;1064,8981221697;1033,4369827971;996,6846126167;985,8116061807;981,0084226204;977,1518131619;953,6415472738;1079,535165293;1085,1672944212;1099,3064206367;1120,0928532613;1161,6701349102;1203,3555957984;1241,743414863;1338,2892578081;1295,387513855;1248,5270345627;1206,1242843054;1181,029429542;1169,7969792645;1161,1001834038;1277,3987017754;1249,0349899766;1249,7856227303;1261,2257944407;1281,5740180612;1320,7938646789;1363,2517902145;1407,7747013503;1497,2910821755;1465,8525970383;1426,195908842;1379,7017404135;1351,954541832;1337,537863689;1327,8091873323;1330,8478364119;1369,0473750409;1404,7558408858;1439,3489784447;1428,9138888994;1467,8119533596;1514,7739319722;1608,6651807747;1621,7609496872;1548,8919342765;1584,1281252527;1653,1737963258;1730,8178304182;1705,6694034629;1743,604995442;1835,7793820171;1842,3890921986;1818,4013921557;1946,24638213;1611,0999219071;1557,5801931952;1504,5844840549;1443,2147298428;1480,7855353519;205,0399161983;82,2440287856;1558,4403559562;2048,9961275261;508,3356959581
8;126,0063875949;61,3029681386;51,3203848501;98,6071371323;140,4827604397;95,7268772355;66,6638272783;70,3984387769;143,051823219;169,6420784524;170,6141488189;179,2939144728;224,1833658334;264,8466737423;220,7939884859;322,1891243959;279,6957379631;265,703299907;259,9291723454;260,7891258502;267,0516696374;469,4814398686;420,9258489158;396,1168801172;372,1334902325;356,116133378;349,820747751;343,8265277836;346,9255127156;433,512678877;432,5428061263;440,8789897882;451,0684022429;462,9396342271;486,4712964258;521,1728482112;537,9467743124;598,1615258514;693,2300664823;663,3674118658;616,6027498657;576,4803130251;552,7979385208;542,7634186281;542,7634186281;525,9254160004;522,4532105907;636,2484785597;637,1919925742;640,5869945926;647,6292518608;654,9162687094;677,14567695;721,9607911623;782,6613232524;867,0518131356;919,4427066057;843,8205236217;805,1866329711;789,0962454766;782,8330800312;783,3563112592;779,2521772162;759,2633963913;883,1511274033;890,6020859082;889,7160162752;890,9432049842;894,4460324001;911,2677894254;937,0290872688;984,23170465;1108,0158554699;1057,2900558667;1031,0108318126;1000,5407891534;995,2832151158;994,6436422236;993,6786207388;971,6975024138;1096,8039623194;1099,9811838187;1110,0959843775;1125,8040149829;1160,9583014146;1197,3352138971;1231,3376421611;1329,3484518992;1290,5882496576;1248,9699988599;1213,0160165728;1192,8029064816;1185,0432596382;1179,1653810261;1297,654702394;1267,6500510097;1265,89024345;1273,6566972237;1289,4670728704;1322,3630082838;1359,2902480886;1399,6546869736;1490,1749818308;1463,0389475238;1429,3331600102;1388,8956165776;1365,2766831296;1354,2076929036;1346,8171986881;1351,8746240599;1390,6504036024;1427,0043052663;1460,4269380811;1446,656787599;1482,1185070564;1525,4447745921;1614,8048301518;1619,8668144518;1546,4313752229;1577,5934227725;1647,4232231302;1725,5824214923;1704,2872821985;1746,9698034385;1836,7568329401;1840,5433205215;1813,7191166227;1942,3271170834;1623,7587027893;1573,1768127896;1523,8275418565;1466,2760499345;1504,5533334632;153,1648811313;136,5003810049;1584,6375098013;2044,6182247922;465,370549576
9;88,9712224312;45,873858469;86,5726301161;140,1865468003;101,7614561552;70,3984350028;65,9634346033;98,1986361403;175,4048962955;186,4850879631;173,8383144334;165,9133090658;195,6898014331;241,9313772206;210,9668250789;304,1227383775;273,6839473195;267,965315851;266,9192214241;275,4841556107;290,1164789229;446,8795785438;405,3486957048;385,7496203365;369,9040672558;360,9824087468;358,5018978117;357,8298186261;367,494861872;453,1501564126;446,6507085185;450,6540280411;457,2651393047;463,8599654044;481,0260433233;509,2171701734;518,5802896559;580,1368949691;675,7572884297;649,1638776516;607,6309782905;573,9637611777;556,1942585142;550,6243927756;550,6243927756;540,2368400458;541,5033244296;654,9090987326;651,8185399717;652,143265247;656,5296546457;660,0508956641;677,2363406158;715,1203552322;769,7315661646;855,9562924159;909,4893055173;838,9985359558;807,3463988199;796,2268778038;792,8400279909;795,5146408294;793,933862699;776,42445312;897,9581930468;903,3120986177;900,4491897281;898,5734353522;897,6107260287;910,6225230132;932,9705696417;975,3526720678;1100,9321509679;1053,8788575921;1031,2976204691;1005,2722087383;1003,901357377;1006,113668458;1007,1191695194;986,2221572837;1110,551516564;1112,0496318354;1119,3898282168;1131,5676760268;1162,1941636098;1194,7894993581;1225,6457735688;1324,5558303592;1288,7622789287;1250,8723829911;1219,4521768592;1202,6355404982;1197,268194791;1193,3230769232;1313,1464663139;1282,0604783326;1278,5879997129;1283,8247726116;1296,4856321844;1324,9484597154;1357,9621386226;1395,3548022556;1486,4828657897;1462,3952885144;1432,8807076597;1396,6888861027;1375,9427944747;1367,1836855389;1361,4005456268;1367,8293886723;1406,9567061838;1443,7142113369;1476,3065373354;1460,2689088839;1493,3367321037;1534,1150351299;1620,2557848776;1619,7144447451;1545,9501053601;1574,2251206019;1644,5442409346;1723,0020054756;1704,4226217937;1750,3845436691;1838,4430524348;1840,254366582;1811,4620685873;1940,5210193231;1633,7139650893;1585,1985784234;1538,3947230528;1483,5030991696;1522,2281461525;123,007693786;177,646194763;1603,9033784132;2042,43157895;437,9128053313
10;52,5009057273;59,4066185066;125,1941287865;181,7818879088;76,3131467325;76,6698985553;96,9693595879;139,8167445948;217,2145573901;218,8678093818;196,2734535962;172,838557271;181,9003532554;233,9867609813;219,3331011441;300,5374837299;283,9681387904;286,3574534067;289,5386618818;304,2994651879;324,9907659171;435,8984448123;403,0671553673;389,4620255606;382,209206637;380,1544947314;381,1280999632;385,006752921;399,8233257923;484,1843908842;473,1611517455;473,3676563393;476,6881093827;478,2431686044;488,9127872386;509,9849344435;510,903332074;573,6349497024;669,426851009;646,6311809303;610,9881590193;584,1845569188;572,3185269526;570,9656513124;570,9656513124;566,3836577488;571,6420641207;684,3365222726;677,7944723766;675,3947372695;677,3483356082;677,3341211197;689,5582732027;720,2391578969;768,1343614492;856,0988779649;910,7250567584;845,8096750618;821,2643199524;814,9517060727;814,2539043488;818,8863004626;819,5686195798;804,2680767353;923,4954136234;926,9547963761;922,2906479766;917,5260486525;912,2826328446;921,4987939919;940,3335210824;977,5881750915;1104,8329699469;1061,6662238905;1042,8624676966;1021,2497364951;1023,5873362646;1028,4486192408;1031,2516524745;1011,3629795547;1134,8238631678;1134,7864846341;1139,5392282119;1148,3436946095;1174,4982821383;1203,2434937913;1230,8189743849;1330,5422959803;1297,8301560625;1263,7234526747;1236,7626841832;1223,1881189504;1220,0491812363;1217,8744852606;1338,7919769424;1306,7553249975;1301,7215459581;1304,6053083234;1314,2695646536;1338,3916525555;1367,4584136046;1401,7752420121;1493,4432710493;1472,4821301051;1447,1661150992;1415,1178081507;1397,1044256781;1390,4949171942;1386,1853127458;1393,8479950636;1433,262218998;1470,3560152424;1502,1812612038;1484,0930140034;1514,9219154449;1553,269810103;1636,254406778;1630,1691037227;1556,1298256121;1581,4448768489;1652,2125944584;1730,9218064338;1715,1080711821;1764,3061083633;1850,5999798946;1850,4295485564;1819,6569673453;1949,1042579188;1654,0194513277;1607,4705033058;1563,0399590987;1510,5812483941;1549,68175111;93,7470381235;218,3836187661;1632,7194760158;2050,5767871128;420,8877378435
