Número;Mes;Día;P: Cantidad de publlicaciones en Sitio Web;V: Venta Diaria (u.m.)
92;Agosto;1;11;618
93;;2;9;645
94;;3;12;623
95;;4;9;605
96;;5;7;624
97;;6;11;618
98;;7;9;615
99;;8;11;638
100;;9;9;612
101;;10;11;634
102;;11;12;641
103;;12;7;617
104;;13;13;689
105;;14;12;633
106;;15;10;820
107;;16;8;641
108;;17;7;602
109;;18;8;628
110;;19;8;632
111;;20;7;608
112;;21;7;618
113;;22;8;670
114;;23;9;684
115;;24;10;693
116;;25;8;673
117;;26;11;663
118;;27;7;659
119;;28;8;661
120;;29;8;676
121;;30;8;686
122;;31;10;654
